Sunlight,Temperature,Wind_Speed,Result,City
5.255757984705353,10.713083077337364,2.4325553129712576,Wind,Vancouver
5.184750337381916,11.900814532584494,2.018073780638772,Wind,Portland
5.787741790373369,15.007813723336023,2.786310742983187,Wind,San Francisco
5.172379667116509,11.324744722577966,2.102703189358302,Wind,Seattle
7.623841655420603,17.693048502194745,1.2221521978887664,Solar,Los Angeles
6.563202878992353,17.066552908339215,1.7508159085282136,Solar,San Diego
8.839563652721548,19.328335906323687,2.4588669562673027,Solar,Las Vegas
8.419253261358525,22.3839974944404,1.9040266492606182,Solar,Phoenix
7.251484480431849,12.520452369040123,2.7620248036192576,Wind,Albuquerque
6.472919478182636,9.743254501806323,2.437484525872741,Wind,Denver
6.425843454790823,20.681384407129723,3.0245110175786087,Solar,San Antonio
6.54842555105713,19.293476068405454,3.6294087195300366,Solar,Dallas
5.526293297345929,21.094262444746544,2.9597109995723514,Solar,Houston
6.71302294197031,13.601500888231103,3.4211438474870017,Wind,Kansas City
5.703598740440846,7.6712567412376975,3.3766233766233764,Wind,Minneapolis
6.542015294646873,13.62926936485695,3.036170069099012,Wind,Saint Louis
5.5376068376068375,10.304589836134282,3.7527740889959262,Wind,Chicago
6.183738191632928,15.515357544391055,2.420536136307367,Solar,Nashville
5.857040035987405,11.727357265323244,3.216277656485629,Wind,Indianapolis
6.363000449842555,16.70849687420956,2.2271714420761213,Solar,Atlanta
5.6741340530814215,9.91283724154563,3.1624389475342682,Wind,Detroit
5.880184435447593,21.244775129396533,2.833599675887371,Solar,Jacksonville
6.026405757984706,15.847052565606338,2.3823628710977065,Solar,Charlotte
5.2330409356725145,25.031696130001958,3.236062031555966,Solar,Miami
5.646626180836707,10.99977968206516,2.496207432082649,Wind,Pittsburgh
5.606770130454341,8.868732190461232,3.815525895248599,Wind,Toronto
5.854206027890238,12.301451890012897,2.6209232708366157,Wind,Philadelphia
5.62204228520018,12.250755263197535,3.2105606698327667,Wind,New York
5.1396761133603235,7.282352473568851,3.818249341646222,Wind,Montreal
5.960166441745389,10.695463637630091,3.3795719012356793,Wind,Boston
